angle,distance
128.88,5138.22
129.24,5173.69
129.60,5208.62
129.96,5232.31
130.32,5252.01
130.68,5277.85
131.04,5314.94
131.40,5328.60
131.76,5374.33
132.12,5396.84
132.48,5433.50
132.84,5449.18
133.20,5499.04
133.56,5530.46
133.92,5554.53
134.28,5602.08
134.64,5609.07
135.00,5674.91
135.36,5672.78
135.72,5728.94
136.08,5781.90
136.44,5821.41
136.80,5856.76
137.16,5889.35
137.52,5930.54
137.88,5976.23
138.24,6011.57
138.60,6054.80
138.96,6093.03
139.32,6147.81
139.68,6172.69
140.04,6212.61
140.40,6270.41
140.76,6339.41
141.12,6361.69
141.48,6403.55
141.84,6378.10
142.20,6335.76
142.56,6285.00
142.92,6264.58
143.28,6239.56
143.64,6207.87
144.00,6164.38
144.36,6146.39
144.72,6119.05
145.08,6097.71
145.44,6059.02
145.80,6044.31
146.16,6006.75
146.52,6010.37
146.88,5984.68
147.24,5937.85
147.60,5917.67
147.96,5910.64
148.32,5863.60
148.68,5854.12
149.04,5821.55
149.40,5806.50
149.76,5798.95
150.12,5747.46
150.48,5730.66
150.84,5725.91
151.20,5715.79
151.56,5680.64
151.92,5672.97
152.28,5640.64
152.64,5649.24
153.00,5626.32
153.36,5586.94
153.72,5568.99
154.08,5553.49
154.44,5555.02
154.80,5525.93
155.16,5518.95
155.52,5504.95
155.88,5484.37
156.24,5469.73
156.60,5431.08
156.96,5415.56
157.32,5424.77
157.68,5424.74
158.04,5399.98
158.40,5386.04
158.76,5368.82
159.12,5334.73
159.48,5355.17
159.84,5333.74
160.20,5318.79
160.56,5318.29
160.92,5286.59
161.28,5268.34
161.64,5265.74
162.00,5260.27
162.36,5249.49
162.72,5244.77
163.08,5209.86
163.44,5234.22
163.80,5207.52
164.16,5183.75
164.52,5182.19
164.88,5176.31
165.24,5158.60
165.60,5156.63
165.96,5165.11
166.32,5152.84
166.68,5148.53
167.04,5143.59
167.40,5125.95
167.76,5098.69
168.12,5120.10
168.48,5122.53
168.84,5103.27
169.20,5109.04
169.56,5086.05
169.92,5094.10
170.28,5065.10
170.64,5063.78
171.00,5043.42
171.36,5042.51
171.72,5035.26
172.08,5039.43
172.44,5044.05
172.80,5028.19
173.16,5052.24
173.52,5034.09
173.88,5029.97
174.24,5005.59
174.60,5038.44
174.96,5013.47
175.32,5005.28
175.68,5030.48
176.04,5023.89
176.40,4997.16
176.76,5019.42
177.12,5008.41
177.48,4988.45
177.84,5022.57
178.20,5017.52
178.56,4999.75
178.92,4987.85
179.28,5004.37
179.64,5012.40
180.00,5004.88
180.36,5017.34
180.72,5000.60
181.08,4997.75
181.44,5009.00
181.80,5020.39
182.16,5020.73
182.52,4987.52
182.88,4990.67
183.24,5007.30
183.60,5001.64
183.96,5015.55
184.32,5025.97
184.68,5028.65
185.04,5015.29
185.40,5019.43
185.76,5029.35
186.12,5020.41
186.48,5013.58
186.84,5044.30
187.20,5026.09
187.56,5029.14
187.92,5029.95
188.28,5056.58
188.64,5065.97
189.00,5051.55
189.36,5055.75
189.72,5091.90
190.08,5091.08
190.44,5100.79
190.80,5071.54
191.16,5104.47
191.52,5119.66
191.88,5111.88
192.24,5113.02
192.60,5109.09
192.96,5112.22
193.32,5126.46
193.68,5133.95
194.04,5147.51
194.40,5174.20
194.76,5151.55
195.12,5173.89
195.48,5193.04
195.84,5209.38
196.20,5196.07
196.56,5235.12
196.92,5223.03
197.28,5224.40
197.64,5232.25
198.00,5266.58
198.36,5279.45
198.72,5268.96
199.08,5306.50
199.44,5306.96
199.80,5305.57
200.16,5338.73
200.52,5338.75
200.88,5352.55
201.24,5368.20
201.60,5358.02
201.96,5380.31
202.32,5417.01
202.68,5436.40
203.04,5433.53
203.40,5448.86
203.76,5478.07
204.12,5475.53
204.48,5490.72
204.84,5507.17
205.20,5542.76
205.56,5536.63
205.92,5547.63
206.28,5557.44
206.64,5575.28
207.00,5629.66
207.36,5617.41
207.72,5633.71
208.08,5669.83
208.44,5701.00
208.80,5697.91
209.16,5727.39
209.52,5736.96
209.88,5766.56
210.24,5805.55
210.60,5810.43
210.96,5811.21
211.32,5839.61
211.68,5885.94
212.04,5912.51
212.40,5905.56
212.76,5948.65
213.12,5985.94
213.48,6008.76
213.84,6024.25
214.20,6049.44
214.56,6062.80
214.92,6093.28
215.28,6138.97
215.64,6168.18
216.00,6180.74
216.36,6208.33
216.72,6246.58
217.08,6280.72
217.44,6303.54
217.80,6324.93
218.16,6376.84
218.52,6383.82
218.88,6378.98
219.24,6321.19
219.60,6292.29
219.96,6216.79
220.32,6184.78
220.68,6147.03
221.04,6085.14
221.40,6059.07
221.76,5989.52
222.12,5961.01
222.48,5935.46
222.84,5896.18
223.20,5835.71
223.56,5803.98
223.92,5778.72
224.28,5724.89
224.64,5709.16
225.00,5641.14
225.36,5615.53
225.72,5588.33
226.08,5548.55
226.44,5500.23
226.80,5501.04
227.16,5452.65
227.52,5413.21
227.88,5378.97
228.24,5358.41
228.60,5339.96
228.96,5319.44
229.32,5255.79
229.68,5242.01
230.04,5236.12
230.40,5210.06
230.76,5178.50
231.12,5128.96
231.48,5093.27
231.84,5100.06
232.20,5057.45
232.56,5036.54
232.92,5029.73
233.28,5001.52
233.64,4984.71
234.00,4954.51
234.36,4907.46
234.72,4903.10
235.08,4881.78
235.44,4859.46
235.80,4855.90
236.16,4829.48
236.52,4793.68
236.88,4764.17
237.24,4747.25
237.60,4757.41
237.96,4723.44
238.32,4686.39
238.68,4693.65
239.04,4670.33
239.40,4654.39
239.76,4614.43
240.12,4631.43
240.48,4600.29
240.84,4567.06
241.20,4552.87
241.56,4533.14
241.92,4544.82
242.28,4501.89
242.64,4485.08
243.00,4496.07
243.36,4455.61
243.72,4479.08
244.08,4455.76
244.44,4426.76
244.80,4431.95
245.16,4408.41
245.52,4395.31
245.88,4378.64
246.24,4357.18
246.60,4375.26
246.96,4337.37
247.32,4317.78
247.68,4304.98
248.04,4332.57
248.40,4282.39
248.76,4295.88
249.12,4284.13
249.48,4272.06
249.84,4280.50
250.20,4252.28
250.56,4251.18
250.92,4229.50
251.28,4206.60
251.64,4218.91
252.00,4189.46
252.36,4186.39
252.72,4174.43
253.08,4169.77
253.44,4163.75
253.80,4178.23
254.16,4176.86
254.52,4140.75
254.88,4144.25
255.24,4127.43
255.60,4125.46
255.96,4121.57
256.32,4108.92
256.68,4124.63
257.04,4085.50
257.40,4080.04
257.76,4095.26
258.12,4082.67
258.48,4083.43
258.84,4081.22
259.20,4071.95
259.56,4055.60
259.92,4050.91
260.28,4064.01
260.64,4064.45
261.00,4058.02
261.36,4064.72
261.72,4040.69
262.08,4032.08
262.44,4030.25
262.80,4033.30
263.16,4037.14
263.52,4022.85
263.88,4033.74
264.24,4034.52
264.60,4026.95
264.96,4032.64
265.32,3998.84
265.68,4000.87
266.04,3996.87
266.40,4025.97
266.76,3992.83
267.12,3999.18
267.48,4007.68
267.84,3998.13
268.20,3991.28
268.56,4003.92
268.92,3994.72
269.28,3997.26
269.64,3986.57
270.00,4017.88
270.36,4003.41
270.72,3992.69
271.08,4003.93
271.44,4006.65
271.80,4006.23
272.16,3995.49
272.52,3995.21
272.88,4001.44
273.24,3996.19
273.60,4018.13
273.96,4029.44
274.32,3994.80
274.68,3996.20
275.04,4022.10
275.40,4022.90
275.76,4004.62
276.12,4029.07
276.48,4021.70
276.84,4031.72
277.20,4033.89
277.56,4023.92
277.92,4053.39
278.28,4059.41
278.64,4055.18
279.00,4060.13
279.36,4045.41
279.72,4039.81
280.08,4059.05
280.44,4078.64
280.80,4060.22
281.16,4063.17
281.52,4082.85
281.88,4075.53
282.24,4086.31
282.60,4109.09
282.96,4113.53
283.32,4098.47
283.68,4114.49
284.04,4123.82
284.40,4145.41
284.76,4138.68
285.12,4137.42
285.48,4130.63
285.84,4174.66
286.20,4151.62
286.56,4160.34
286.92,4178.91
287.28,4192.54
287.64,4191.32
288.00,4214.15
288.36,4219.96
288.72,4208.75
289.08,4236.51
289.44,4226.12
289.80,4263.93
290.16,4273.83
290.52,4280.60
290.88,4261.65
291.24,4294.42
291.60,4296.13
291.96,4325.25
292.32,4318.60
292.68,4343.95
293.04,4354.53
293.40,4347.95
293.76,4362.81
294.12,4374.86
294.48,4414.09
294.84,4426.42
295.20,4423.34
295.56,4415.91
295.92,4458.09
296.28,4467.92
296.64,4483.50
297.00,4482.88
297.36,4523.73
297.72,4519.28
298.08,4520.36
298.44,4561.31
298.80,4550.82
299.16,4571.46
299.52,4610.92
299.88,4629.29
300.24,4620.13
300.60,4635.46
300.96,4673.03
301.32,4676.94
301.68,4685.20
302.04,4710.64
302.40,4750.00
302.76,4749.36
303.12,4779.39
303.48,4786.19
303.84,4820.32
304.20,4825.19
304.56,4867.85
304.92,4867.49
305.28,4902.36
305.64,4925.07
306.00,4941.45
306.36,4982.90
306.72,4996.22
307.08,5014.49
307.44,5030.65
307.80,5050.90
308.16,5081.49
308.52,5129.44
308.88,5135.82
309.24,5174.73
309.60,5210.13
309.96,5228.00
310.32,5240.37
310.68,5293.27
311.04,5289.95
311.40,5351.67
311.76,5367.61
312.12,5400.54
312.48,5423.17
312.84,5450.66
313.20,5489.72
313.56,5522.70
313.92,5571.16
314.28,5589.08
314.64,5603.36
315.00,5661.22
315.36,5693.84
315.72,5723.85
316.08,5768.47
316.44,5785.09
316.80,5837.65
317.16,5881.31
317.52,5920.16
317.88,5975.35
318.24,5988.81
318.60,6063.43
318.96,6085.30
319.32,6145.20
319.68,6181.59
320.04,6211.93
320.40,6261.35
320.76,6306.09
321.12,6354.84
321.48,6406.19
321.84,6346.15
322.20,6318.46
322.56,6291.28
322.92,6263.77
323.28,6227.19
323.64,6192.21
324.00,6162.90
324.36,6160.57
324.72,6135.94
325.08,6102.05
325.44,6069.06
325.80,6055.56
326.16,6012.13
326.52,5976.07
326.88,5957.35
327.24,5955.83
327.60,5940.79
327.96,5885.49
328.32,5865.94
328.68,5837.74
329.04,5828.63
329.40,5804.42
329.76,5773.39
330.12,5782.08
330.48,5736.07
330.84,5744.81
331.20,5697.10
331.56,5678.39
331.92,5650.08
332.28,5641.56
332.64,5643.69
333.00,5604.61
333.36,5575.47
333.72,5561.44
334.08,5548.12
334.44,5547.42
334.80,5545.11
335.16,5527.71
335.52,5509.97
335.88,5465.73
336.24,5449.99
336.60,5456.54
336.96,5416.61
337.32,5399.19
337.68,5411.04
338.04,5400.01
338.40,5363.48
338.76,5349.23
339.12,5349.14
339.48,5320.96
339.84,5321.81
340.20,5304.59
340.56,5318.95
340.92,5290.71
341.28,5284.66
341.64,5283.76
342.00,5270.23
342.36,5251.45
342.72,5243.12
343.08,5218.46
343.44,5227.03
343.80,5219.00
344.16,5181.49
344.52,5173.29
344.88,5173.33
345.24,5154.99
345.60,5171.86
345.96,5163.37
346.32,5157.66
346.68,5141.13
347.04,5146.05
347.40,5123.55
347.76,5105.23
348.12,5106.50
348.48,5111.63
348.84,5114.02
349.20,5077.95
349.56,5095.02
349.92,5065.68
350.28,5071.92
350.64,5053.76
351.00,5065.04
351.36,5059.10
351.72,5063.13
352.08,5062.10
352.44,5053.39
352.80,5044.30
353.16,5053.64
353.52,5028.86
353.88,5045.64
354.24,5017.56
354.60,5006.22
354.96,5012.55
355.32,5029.87
355.68,5022.24
356.04,5011.90
356.40,5004.63
356.76,4997.12
357.12,5011.80
357.48,5003.61
357.84,4985.68
358.20,4987.88
358.56,4999.10
358.92,4990.11
359.28,5016.90
359.64,5012.10
